campus_id,building_id,date,energy_consumption,built_year,category,gross_floor_area,room_area,capacity,air_temperature,relative_humidity,apparent_temperature,dew_point_temperature,wind_speed,wind_direction,is_holiday,is_semester,is_exam,year,month,day,day_of_week,is_weekend,energy_intensity
1,1,2019-03-29,33.542,1972.0,other,176996.6100000002,5129.219999999997,645.0,20.072916666666668,40.56736111111111,15.899861111111111,4.370486111111111,15.390069444444444,170.9875,0.0,1,0,2019,3,29,4,0,
1,1,2019-03-30,9.76,1972.0,other,176996.6100000002,5129.219999999997,645.0,10.625069444444446,75.53819444444444,6.5588194444444445,6.292638888888889,16.562708333333333,271.64722222222224,0.0,1,0,2019,3,30,5,1,
1,1,2019-03-31,1.933,1972.0,other,176996.6100000002,5129.219999999997,645.0,13.774722222222222,83.525,11.831319444444443,10.869930555555555,11.550902777777777,251.7902777777778,0.0,1,0,2019,3,31,6,1,
1,1,2019-04-01,24.834,1972.0,other,176996.6100000002,5129.219999999997,645.0,14.107916666666668,70.17430555555555,12.752291666666666,8.414583333333333,5.2175,215.35,0.0,1,0,2019,4,1,0,0,
1,1,2019-04-02,18.054,1972.0,other,176996.6100000002,5129.219999999997,645.0,15.676875,64.43263888888889,13.617777777777777,7.210902777777778,7.275069444444445,161.15277777777777,0.0,1,0,2019,4,2,1,0,
1,1,2019-04-03,23.703,1972.0,other,176996.6100000002,5129.219999999997,645.0,17.210833333333333,68.07430555555555,15.514375000000001,10.68138888888889,10.154861111111112,147.1513888888889,0.0,1,0,2019,4,3,2,0,
1,1,2019-04-04,28.46,1972.0,other,176996.6100000002,5129.219999999997,645.0,17.045625,65.32291666666667,16.126597222222223,10.299305555555556,5.495,165.3486111111111,0.0,1,0,2019,4,4,3,0,
1,1,2019-04-05,24.18,1972.0,other,176996.6100000002,5129.219999999997,645.0,21.57111111111111,58.93055555555556,19.662569444444443,11.352152777777778,12.105694444444445,49.141666666666666,0.0,1,0,2019,4,5,4,0,
1,1,2019-04-06,8.141,1972.0,other,176996.6100000002,5129.219999999997,645.0,18.392083333333332,58.43263888888889,16.02298611111111,9.680972222222222,12.00951388888889,206.2798611111111,0.0,1,0,2019,4,6,5,1,
1,1,2019-04-07,2.1109999999999998,1972.0,other,176996.6100000002,5129.219999999997,645.0,17.362222222222222,60.21041666666667,14.555208333333333,7.527222222222223,11.594791666666667,215.93958333333333,0.0,1,0,2019,4,7,6,1,
1,1,2019-04-08,22.751,1972.0,other,176996.6100000002,5129.219999999997,645.0,17.03951388888889,61.354166666666664,14.555902777777778,8.945625,11.82201388888889,234.5986111111111,0.0,1,0,2019,4,8,0,0,
1,1,2019-04-09,32.935,1972.0,other,176996.6100000002,5129.219999999997,645.0,12.592916666666666,73.10416666666667,9.335902777777779,7.4345138888888895,13.948194444444445,251.17361111111111,0.0,1,0,2019,4,9,1,0,
1,1,2019-04-10,39.692,1972.0,other,176996.6100000002,5129.219999999997,645.0,12.168819444444443,78.78888888888889,10.434791666666667,8.20625,6.884861111111111,225.17013888888889,0.0,1,0,2019,4,10,2,0,
1,1,2019-04-11,42.733,1972.0,other,176996.6100000002,5129.219999999997,645.0,12.627361111111112,69.7076388888889,10.577569444444444,6.780069444444444,6.697777777777778,163.97569444444446,0.0,1,0,2019,4,11,3,0,
1,1,2019-04-12,23.326,1972.0,other,176996.6100000002,5129.219999999997,645.0,14.020347222222222,64.13402777777777,11.59125,4.977430555555555,6.858819444444445,168.29375,0.0,1,0,2019,4,12,4,0,
1,1,2019-04-13,15.882,1972.0,other,176996.6100000002,5129.219999999997,645.0,14.143263888888889,71.68611111111112,12.981527777777778,8.685833333333333,4.880972222222223,133.1340277777778,0.0,1,0,2019,4,13,5,1,
1,1,2019-04-14,1.7169999999999999,1972.0,other,176996.6100000002,5129.219999999997,645.0,16.705694444444443,75.94305555555556,16.44625,11.61888888888889,4.023472222222223,189.66319444444446,0.0,1,0,2019,4,14,6,1,
1,1,2019-04-15,40.442,1972.0,other,176996.6100000002,5129.219999999997,645.0,19.083194444444445,57.94375,17.953819444444445,9.370486111111111,5.245,114.77083333333333,0.0,1,0,2019,4,15,0,0,
1,1,2019-04-16,25.827,1972.0,other,176996.6100000002,5129.219999999997,645.0,24.0175,37.673611111111114,21.623680555555556,7.762222222222222,9.660416666666666,71.92986111111111,0.0,1,0,2019,4,16,1,0,
1,1,2019-04-17,26.683,1972.0,other,176996.6100000002,5129.219999999997,645.0,25.59923611111111,34.922916666666666,22.457638888888887,8.348055555555556,14.249027777777776,82.25486111111111,0.0,1,0,2019,4,17,2,0,
1,1,2019-04-18,20.691,1972.0,other,176996.6100000002,5129.219999999997,645.0,15.342847222222222,57.31597222222222,12.327708333333334,6.80625,11.732708333333333,221.1159722222222,0.0,1,0,2019,4,18,3,0,
1,1,2019-04-19,5.235,1972.0,other,176996.6100000002,5129.219999999997,645.0,14.483888888888888,65.70277777777778,12.981527777777778,7.385972222222222,4.653194444444445,219.2375,1.0,0,0,2019,4,19,4,0,
1,1,2019-04-20,31.124,1972.0,other,176996.6100000002,5129.219999999997,645.0,17.902430555555554,55.625,15.970972222222223,6.734444444444445,6.036319444444444,166.1513888888889,1.0,0,0,2019,4,20,5,1,
1,1,2019-04-21,40.525,1972.0,other,176996.6100000002,5129.219999999997,645.0,21.38923611111111,53.32361111111111,19.417569444444442,10.811875,11.685347222222223,112.98680555555555,1.0,0,0,2019,4,21,6,1,
