Timestamp,Building_ID,Energy_Consumption_kWh,Water_Consumption_L,Temperature_C,Humidity_Percent,CO2_Level_ppm,Occupancy,Sustainability_Score
2026-07-28 09:00,A101,42.0,280,23.5,52,480,18,92.7
2026-07-28 09:05,A102,44.1,292,23.8,53,502,19,92.23
2026-07-28 09:10,B201,46.2,304,24.1,54,524,20,91.76
2026-07-28 09:15,C301,47.1,316,24.4,55,546,21,91.42
2026-07-28 09:20,Library,49.2,328,24.7,56,568,22,90.95
2026-07-28 09:25,A101,51.3,340,25.0,57,590,23,90.48
2026-07-28 09:30,A102,52.2,352,23.5,58,612,24,90.15
2026-07-28 09:35,B201,54.3,364,23.8,59,634,25,89.68
2026-07-28 09:40,C301,42.8,376,24.1,60,656,26,90.79
2026-07-28 09:45,Library,43.7,388,24.4,52,678,27,90.46
2026-07-28 09:50,A101,45.8,280,24.7,53,700,28,90.79
2026-07-28 09:55,A102,47.9,292,25.0,54,722,29,90.32
2026-07-28 10:00,B201,48.8,304,23.5,55,480,30,91.75
2026-07-28 10:05,C301,50.9,316,23.8,56,502,31,91.28
2026-07-28 10:10,Library,53.0,328,24.1,57,524,32,90.8
2026-07-28 10:15,A101,53.9,340,24.4,58,546,33,90.47
2026-07-28 10:20,A102,42.4,352,24.7,59,568,34,91.59
2026-07-28 10:25,B201,44.5,364,25.0,60,590,35,91.11
2026-07-28 10:30,C301,45.4,376,23.5,52,612,36,90.78
2026-07-28 10:35,Library,47.5,388,23.8,53,634,37,90.31
2026-07-28 10:40,A101,49.6,280,24.1,54,656,38,90.64
2026-07-28 10:45,A102,50.5,292,24.4,55,678,39,90.31
2026-07-28 10:50,B201,52.6,304,24.7,56,700,40,89.84
2026-07-28 10:55,C301,54.7,316,25.0,57,722,41,89.36
2026-07-28 11:00,Library,42.0,328,23.5,58,480,42,92.38
2026-07-28 11:05,A101,44.1,340,23.8,59,502,43,91.91
2026-07-28 11:10,A102,46.2,352,24.1,60,524,44,91.44
2026-07-28 11:15,B201,47.1,364,24.4,52,546,45,91.11
2026-07-28 11:20,C301,49.2,376,24.7,53,568,46,90.63
2026-07-28 11:25,Library,51.3,388,25.0,54,590,47,90.16
2026-07-28 11:30,A101,52.2,280,23.5,55,612,18,90.63
2026-07-28 11:35,A102,54.3,292,23.8,56,634,19,90.16
2026-07-28 11:40,B201,42.8,304,24.1,57,656,20,91.27
2026-07-28 11:45,C301,43.7,316,24.4,58,678,21,90.94
2026-07-28 11:50,Library,45.8,328,24.7,59,700,22,90.47
2026-07-28 11:55,A101,47.9,340,25.0,60,722,23,90.0
2026-07-28 12:00,A102,48.8,352,23.5,52,480,24,91.43
2026-07-28 12:05,B201,50.9,364,23.8,53,502,25,90.95
2026-07-28 12:10,C301,53.0,376,24.1,54,524,26,90.48
2026-07-28 12:15,Library,53.9,388,24.4,55,546,27,90.15
2026-07-28 12:20,A101,42.4,280,24.7,56,568,28,92.07
2026-07-28 12:25,A102,44.5,292,25.0,57,590,29,91.59
2026-07-28 12:30,B201,45.4,304,23.5,58,612,30,91.26
2026-07-28 12:35,C301,47.5,316,23.8,59,634,31,90.79
2026-07-28 12:40,Library,49.6,328,24.1,60,656,32,90.32
2026-07-28 12:45,A101,50.5,340,24.4,52,678,33,89.99
2026-07-28 12:50,A102,52.6,352,24.7,53,700,34,89.52
2026-07-28 12:55,B201,54.7,364,25.0,54,722,35,89.05
2026-07-28 13:00,C301,42.0,376,23.5,55,480,36,92.06
2026-07-28 13:05,Library,44.1,388,23.8,56,502,37,91.59
2026-07-28 13:10,A101,46.2,280,24.1,57,524,38,91.92
2026-07-28 13:15,A102,47.1,292,24.4,58,546,39,91.59
2026-07-28 13:20,B201,49.2,304,24.7,59,568,40,91.11
2026-07-28 13:25,C301,51.3,316,25.0,60,590,41,90.64
2026-07-28 13:30,Library,52.2,328,23.5,52,612,42,90.31
2026-07-28 13:35,A101,54.3,340,23.8,53,634,43,89.84
2026-07-28 13:40,A102,42.8,352,24.1,54,656,44,90.95
2026-07-28 13:45,B201,43.7,364,24.4,55,678,45,90.62
2026-07-28 13:50,C301,45.8,376,24.7,56,700,46,90.15
2026-07-28 13:55,Library,47.9,388,25.0,57,722,47,89.68
2026-07-28 14:00,A101,48.8,280,23.5,58,480,18,91.91
2026-07-28 14:05,A102,50.9,292,23.8,59,502,19,91.44
2026-07-28 14:10,B201,53.0,304,24.1,60,524,20,90.96
2026-07-28 14:15,C301,53.9,316,24.4,52,546,21,90.63
2026-07-28 14:20,Library,42.4,328,24.7,53,568,22,91.75
2026-07-28 14:25,A101,44.5,340,25.0,54,590,23,91.28
2026-07-28 14:30,A102,45.4,352,23.5,55,612,24,90.94
2026-07-28 14:35,B201,47.5,364,23.8,56,634,25,90.47
2026-07-28 14:40,C301,49.6,376,24.1,57,656,26,90.0
2026-07-28 14:45,Library,50.5,388,24.4,58,678,27,89.67
2026-07-28 14:50,A101,52.6,280,24.7,59,700,28,90.0
2026-07-28 14:55,A102,54.7,292,25.0,60,722,29,89.53
2026-07-28 15:00,B201,42.0,304,23.5,52,480,30,92.54
2026-07-28 15:05,C301,44.1,316,23.8,53,502,31,92.07
2026-07-28 15:10,Library,46.2,328,24.1,54,524,32,91.6
2026-07-28 15:15,A101,47.1,340,24.4,55,546,33,91.27
2026-07-28 15:20,A102,49.2,352,24.7,56,568,34,90.79
2026-07-28 15:25,B201,51.3,364,25.0,57,590,35,90.32
2026-07-28 15:30,C301,52.2,376,23.5,58,612,36,89.99
2026-07-28 15:35,Library,54.3,388,23.8,59,634,37,89.52
2026-07-28 15:40,A101,42.8,280,24.1,60,656,38,91.43
2026-07-28 15:45,A102,43.7,292,24.4,52,678,39,91.1
2026-07-28 15:50,B201,45.8,304,24.7,53,700,40,90.63
2026-07-28 15:55,C301,47.9,316,25.0,54,722,41,90.16
2026-07-28 16:00,Library,48.8,328,23.5,55,480,42,91.59
2026-07-28 16:05,A101,50.9,340,23.8,56,502,43,91.11
2026-07-28 16:10,A102,53.0,352,24.1,57,524,44,90.64
2026-07-28 16:15,B201,53.9,364,24.4,58,546,45,90.31
2026-07-28 16:20,C301,42.4,376,24.7,59,568,46,91.43
2026-07-28 16:25,Library,44.5,388,25.0,60,590,47,90.95
2026-07-28 16:30,A101,45.4,280,23.5,52,612,18,91.42
2026-07-28 16:35,A102,47.5,292,23.8,53,634,19,90.95
2026-07-28 16:40,B201,49.6,304,24.1,54,656,20,90.48
2026-07-28 16:45,C301,50.5,316,24.4,55,678,21,90.15
2026-07-28 16:50,Library,52.6,328,24.7,56,700,22,89.68
2026-07-28 16:55,A101,54.7,340,25.0,57,722,23,89.2
2026-07-28 17:00,A102,42.0,352,23.5,58,480,24,92.22
2026-07-28 17:05,B201,44.1,364,23.8,59,502,25,91.75
2026-07-28 17:10,C301,46.2,376,24.1,60,524,26,91.28
2026-07-28 17:15,Library,47.1,388,24.4,52,546,27,90.94
